unknown_params,G_true,dynamics,n_seeds,accuracy,mean_steps,mean_wall_time,G_rmse,G_bias,G_mean_fit,a_rmse,a_bias,a_mean_fit,q_rmse,q_bias,q_mean_fit
G,0.1,previous,50,0.02,81.66,85.0088,0.33924549345592586,0.20608266044124407,0.3060826604412441,,,,,,
G,0.1,updated,50,0.04,142.06,196.901,0.3772785636994622,0.2604902153492779,0.3604902153492779,,,,,,
G,0.3,previous,50,0.58,77.08,74.6088,0.3152457224643661,0.18209229821778647,0.48209229821778643,,,,,,
G,0.3,updated,50,0.72,96.64,199.0596,0.23132213713599123,0.10284674373620564,0.40284674373620566,,,,,,
G,0.5,previous,50,1.0,55.8,55.770199999999996,0.035744773259922646,0.00432721276321042,0.5043272127632105,,,,,,
G,0.5,updated,50,1.0,45.58,65.69460000000001,0.04111490213273972,0.003917191340124325,0.5039171913401244,,,,,,
G,0.7,previous,50,1.0,53.3,36.2218,0.04303298882813724,0.0046722777991555905,0.7046722777991554,,,,,,
G,0.7,updated,50,1.0,38.22,70.2088,0.04654478012641584,0.00415669803538101,0.7041566980353811,,,,,,
G,0.9,previous,50,1.0,57.38,58.415000000000006,0.04753117103268649,0.0029165475211705384,0.9029165475211707,,,,,,
G,0.9,updated,50,1.0,40.76,79.0348,0.04446644355468939,0.0010520733875627065,0.9010520733875625,,,,,,
G|a,0.1,previous,50,0.06,126.38,145.5606,0.3925450026748938,0.26123552947594675,0.3612355294759467,0.20070664271736804,-0.01582809252245049,4.98417190747755,,,
G|a,0.1,updated,50,0.08,82.16,123.9338,0.17374498741286695,0.09948998014977968,0.19948998014977964,0.19978863977562297,-0.01232275171201838,4.987677248287982,,,
G|a,0.3,previous,50,0.42,123.38,105.64220000000002,0.29950238948783336,0.19352565344561495,0.493525653445615,0.1982474434272987,-0.0019747927507857634,4.9980252072492135,,,
G|a,0.3,updated,50,0.78,76.3,99.7736,0.10197800415726965,0.04025094020572805,0.3402509402057281,0.19756353466935112,0.00961185051689597,5.009611850516896,,,
G|a,0.5,previous,50,1.0,50.04,50.564000000000014,0.03614442936319474,0.0035132641899438544,0.5035132641899439,0.19783106419640625,0.012390832535935753,5.012390832535936,,,
G|a,0.5,updated,50,1.0,49.82,92.26079999999997,0.04119696225614073,0.0022718616164361825,0.5022718616164361,0.1976533978651015,0.01235960937810054,5.0123596093781,,,
G|a,0.7,previous,50,1.0,52.44,45.465199999999996,0.044206556996336306,0.003152353620290873,0.703152353620291,0.19783451267343427,0.012342797548329437,5.012342797548329,,,
G|a,0.7,updated,50,1.0,50.48,75.36359999999999,0.04736487793330134,0.0018571890317122786,0.7018571890317123,0.1976117799794428,0.012288842837229783,5.012288842837229,,,
G|a,0.9,previous,50,1.0,51.68,65.0002,0.05134381822338943,0.0018870815308633193,0.9018870815308634,0.1959007960297925,0.013100881931609241,5.013100881931609,,,
G|a,0.9,updated,50,1.0,60.8,158.72279999999998,0.05164376586669309,0.00018676011910494063,0.900186760119105,0.1970738354885696,0.013727525916244137,5.013727525916245,,,
G|a|q,0.1,previous,50,0.02,197.58,182.12039999999996,0.4042296117372111,0.27379010909772905,0.37379010909772903,1.3072808417096824,-0.46180991285826223,4.5381900871417375,1.986444882045285,0.8332010048371596,1.8332010048371599
G|a|q,0.1,updated,50,0.04,186.82,268.9298,0.31227171147917465,0.20721207808324926,0.30721207808324924,1.118990077090999,-1.0348387516495319,3.965161248350469,1.5398277132416174,1.3850259476681455,2.3850259476681455
G|a|q,0.3,previous,50,0.4,198.24,163.77579999999998,0.36256209323353494,0.24307556698365665,0.5430755669836567,1.303776703395008,-0.5087767210614019,4.491223278938598,2.0075023268448313,0.9132154268849857,1.9132154268849857
G|a|q,0.3,updated,50,0.54,176.84,253.681,0.17627347290284467,0.09964144235309133,0.39964144235309135,1.1242917672400552,-1.0632960743514848,3.9367039256485157,1.5769543941207151,1.453453299561158,2.4534532995611578
G|a|q,0.5,previous,50,0.98,191.66,158.65480000000002,0.07825356315763816,-0.00862664700327221,0.4913733529967278,1.2538110056085927,-0.48083966176749354,4.519160338232506,1.9226258192372458,0.8687819866805286,1.8687819866805284
G|a|q,0.5,updated,50,0.96,159.96,333.30519999999996,0.06082088079409498,-0.0008799009969955985,0.4991200990030044,1.1467311248254564,-1.0774059796094475,3.9225940203905534,1.6503056475715545,1.4996778526866883,2.499677852686688
G|a|q,0.7,previous,50,0.98,188.4,178.29760000000002,0.10701622185459186,-0.013645314092501032,0.6863546859074988,1.2454172126493146,-0.4836637390528176,4.516336260947182,1.9208953522610261,0.8706774969712815,1.8706774969712814
G|a|q,0.7,updated,50,0.96,164.32,268.7722,0.08136061916052138,-0.0033309131895065468,0.6966690868104934,1.1372428240051464,-1.061970205819081,3.93802979418092,1.6424866538415295,1.4810619193964154,2.4810619193964154
G|a|q,0.9,previous,50,0.98,186.86,156.8398,0.13625457665982818,-0.019130087527401026,0.880869912472599,1.2413197165195362,-0.46594704401591364,4.534052955984086,1.9130390661004626,0.8470401474472561,1.8470401474472558
G|a|q,0.9,updated,50,0.96,166.8,414.5119999999999,0.09055086027245329,-0.011751946078255473,0.8882480539217446,1.12769925175366,-1.056273515569334,3.943726484430666,1.6282947607834852,1.472382416523034,2.472382416523034
