seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
58,20,4,G|a|q|c,0.9,204,204,1,83,185.94,5,1.0,0.0,0.8727938636877447,3.5314268187555546,2.868890254555164,1.0125156277091083
59,20,4,G|a|q|c,0.9,25,25,1,49,109.84,5,1.0,0.0,0.9803087569290249,3.1283214191350406,3.1904427806988074,0.5046210695728229
60,20,4,G|a|q|c,0.9,175,175,1,90,202.53,5,1.0,0.0,0.9239302648362444,3.7912337544950074,3.104525173135777,-1.463472691689321
61,20,4,G|a|q|c,0.9,100,100,1,142,305.07,5,1.0,0.0,0.920911809289579,4.177446364587799,2.149979468215973,-0.08655786905032574
62,20,4,G|a|q|c,0.9,125,125,1,142,319.68,5,1.0,0.0,0.9094639694836016,3.9298354510910896,3.407495942794668,-1.4974918828857982
63,20,4,G|a|q|c,0.9,78,78,1,101,232.12,5,1.0,0.0,0.8875561548369761,3.5763371217603623,2.8671781626701995,0.9705779480513388
64,20,4,G|a|q|c,0.9,254,254,1,104,234.93,5,1.0,0.0,0.9161308717070223,4.109345161216484,2.181401586150051,1.3748051903076262
65,20,4,G|a|q|c,0.9,74,74,1,106,232.21,5,1.0,0.0,0.9414958430521729,3.3914977383065685,3.618327216378281,0.2420506377550646
66,20,4,G|a|q|c,0.9,181,181,1,158,349.46,5,1.0,0.0,0.9325655476531128,4.385625393328815,2.07774896052211,-1.3082242532021089
67,20,4,G|a|q|c,0.9,211,211,1,105,233.86,5,1.0,0.0,0.933406238709829,3.901729807835833,2.954397087069618,-1.5667776084244243
68,20,4,G|a|q|c,0.9,203,203,1,77,169.6,5,1.0,0.0,0.9112550964488123,4.009833469040738,2.087692235298268,-0.7851603827994366
69,20,4,G|a|q|c,0.9,211,0,0,201,453.9,5,1.0,0.0,0.004677841502588593,3.9893049737518433,2.0642659116348465,-0.273443353769742
70,20,4,G|a|q|c,0.9,92,92,1,94,204.01,5,1.0,0.0,0.9826398864417755,3.722433526726029,2.8507170006420037,-0.8086128966630722
71,20,4,G|a|q|c,0.9,49,49,1,91,197.36,5,1.0,0.0,0.9512934541639143,4.037463654293185,2.2103655109706253,-1.4475952020499443
72,20,4,G|a|q|c,0.9,165,165,1,93,200.05,5,1.0,0.0,0.9402886471719867,3.886451883938633,1.9861201484375728,-0.49944386344456865
73,20,4,G|a|q|c,0.9,76,76,1,131,298.19,5,1.0,0.0,0.8652443293276144,3.2574822498470275,3.5011187852178525,0.4962710089477094
74,20,4,G|a|q|c,0.9,175,175,1,64,144.1,5,1.0,0.0,0.860956162581338,4.177578985699097,1.9421074305016557,0.3587890756940123
75,20,4,G|a|q|c,0.9,32,32,1,166,387.59,5,1.0,0.0,0.8718964006357762,3.603706105768326,3.234773860126616,-1.6083145912584156
76,20,4,G|a|q|c,0.9,112,112,1,97,243.42,5,1.0,0.0,0.9948716584559572,3.683263956204315,2.621080453822051,-1.7452927501120186
77,20,4,G|a|q|c,0.9,255,255,1,111,273.05,5,1.0,0.0,0.8834734041865773,4.064632722688496,2.0438380424182077,-0.39596692430308983
78,20,4,G|a|q|c,0.9,185,185,1,119,298.26,5,1.0,0.0,0.9005431191932216,4.054543791078679,2.0207542764511204,-0.6781311998933699
79,20,4,G|a|q|c,0.9,136,136,1,109,277.11,5,1.0,0.0,0.9901342847361163,4.177077478986898,2.1815507660515436,-1.6298316335045149
80,20,4,G|a|q|c,0.9,107,107,1,70,177.75,5,1.0,0.0,0.9866612725726042,3.6862430621845546,2.9404731507021142,0.14139711713594372
81,20,4,G|a|q|c,0.9,189,189,1,72,182.42,5,1.0,0.0,0.8944190867391142,3.921899257566719,2.455754517498775,1.3453744710216105
82,20,4,G|a|q|c,0.9,136,136,1,152,377.23,5,1.0,0.0,0.8911347998768094,3.839169779773381,2.9361412770318833,-0.5029316903420429
83,20,4,G|a|q|c,0.9,180,180,1,178,445.43,5,1.0,0.0,0.8108482591622589,4.3592362325696214,2.2640770356028117,-0.7722758360197948
84,20,4,G|a|q|c,0.9,142,142,1,95,227.88,5,1.0,0.0,0.916224022906747,3.3860512863328314,3.349118705472652,-0.012747987853097605
85,20,4,G|a|q|c,0.9,18,18,1,108,264.7,5,1.0,0.0,0.9603459468495943,3.6384227605334027,2.606743400419397,0.09470242778685001
86,20,4,G|a|q|c,0.9,165,165,1,165,417.56,5,1.0,0.0,0.9140025423511248,4.2097388075593445,2.1712977919349346,-1.0649943452612087
87,20,4,G|a|q|c,0.9,2,224,0,201,472.88,5,1.0,0.0,0.0062079416287196525,4.0736041036756365,2.1959462500242455,-0.32302807331132244
88,20,4,G|a|q|c,0.9,43,43,1,181,441.86,5,1.0,0.0,0.85407484234234,4.238473503593633,2.609952866151294,-2.6566873772854054
89,20,4,G|a|q|c,0.9,66,66,1,161,405.93,5,1.0,0.0,0.8627460939585616,4.09031777263299,2.5726775824332453,-1.329795865971308
90,20,4,G|a|q|c,0.9,16,16,1,116,313.7,5,1.0,0.0,0.9617806340376926,3.727375558568925,2.7838484830647086,-1.1015769206895245
91,20,4,G|a|q|c,0.9,123,123,1,102,264.81,5,1.0,0.0,0.8092370483426243,4.042294122619484,2.4314266604941754,0.7343625340113331
92,20,4,G|a|q|c,0.9,229,229,1,133,325.94,5,1.0,0.0,0.9251216858710284,3.6594891038490633,2.4882476501041184,-0.18279695357270453
93,20,4,G|a|q|c,0.9,256,256,1,109,288.35,5,1.0,0.0,0.9933179613295179,4.2025818477298795,2.319752347923493,-1.399483228441869
94,20,4,G|a|q|c,0.9,73,73,1,100,253.9,5,1.0,0.0,0.8527211636157265,3.6430824253006864,2.777038666802428,0.4651970441773556
95,20,4,G|a|q|c,0.9,91,91,1,135,372.0,5,1.0,0.0,0.8952033014839901,3.6381218786784135,3.148447269222382,-0.9682758000124707
96,20,4,G|a|q|c,0.9,113,113,1,84,218.36,5,1.0,0.0,0.9932633450252957,3.9027949620685387,2.017970783838085,-0.449098669580213
97,20,4,G|a|q|c,0.9,12,12,1,131,330.48,5,1.0,0.0,0.9895301454811448,4.464575557101647,1.6889242654666003,-1.6399811620388665
98,20,4,G|a|q|c,0.9,176,176,1,81,202.52,5,1.0,0.0,0.9806454625109111,3.4689477688415318,3.165490070096838,-0.44530145301891144
99,20,4,G|a|q|c,0.9,81,81,1,106,275.27,5,1.0,0.0,0.8801985491171042,4.274314225246342,2.5120647677516317,-1.4393354990473375
