seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
0,15,3,G|a|q,0.9,188,188,1,198,533.43,5,1.0,0.9847314738241824,3.5556872873042993,3.7017276218420836
1,15,3,G|a|q,0.9,94,94,1,95,239.86,5,1.0,0.9048936976023427,3.3861724013446177,3.727730418493689
2,15,3,G|a|q,0.9,33,33,1,187,482.05,5,1.0,0.9285606734500417,4.5798306907126145,1.6913969329704537
3,15,3,G|a|q,0.9,43,43,1,109,277.44,5,1.0,0.8610975500073915,3.4349288124061323,3.2848276062727777
4,15,3,G|a|q,0.9,5,5,1,189,481.42,5,1.0,0.946006078682617,3.9890299857694402,1.8672116360969553
5,15,3,G|a|q,0.9,107,107,1,183,454.51,5,1.0,0.8735334571001838,4.61965533137683,1.3602527894581289
6,15,3,G|a|q,0.9,115,115,1,195,490.55,5,1.0,0.8154043030630506,4.315058484643376,2.085615068433339
7,15,3,G|a|q,0.9,47,47,1,139,355.07,5,1.0,0.881146715188248,3.604654713386584,2.725547668890181
8,15,3,G|a|q,0.9,44,44,1,167,415.44,5,1.0,0.7956039941461446,3.7470387358551536,3.186389410747633
9,15,3,G|a|q,0.9,54,54,1,186,471.41,5,1.0,0.9092910049554425,3.8919172032929406,2.219100847798976
10,15,3,G|a|q,0.9,24,24,1,195,493.42,5,1.0,0.7914794981322197,4.372211483190435,2.345901562229135
11,15,3,G|a|q,0.9,169,169,1,179,451.32,5,1.0,0.9119821736256264,4.360337974253563,1.7444626360808042
12,15,3,G|a|q,0.9,157,80,0,201,495.49,5,1.0,0.3714996038771595,4.715540795761389,0.8832187541451006
13,15,3,G|a|q,0.9,167,167,1,201,492.74,5,1.0,0.9709572179523961,4.321907531435034,1.5840161627292668
14,15,3,G|a|q,0.9,29,29,1,156,391.44,5,1.0,0.8860625414884749,4.104633909297427,1.9524661478878553
15,15,3,G|a|q,0.9,176,176,1,201,500.33,5,1.0,0.9823227015960351,4.4274674237853935,1.6354429350167146
16,15,3,G|a|q,0.9,213,213,1,155,382.96,5,1.0,0.9389388965364189,4.129753625476028,1.8123090956956356
17,15,3,G|a|q,0.9,78,78,1,185,460.63,5,1.0,0.8987456683553539,4.503130270616176,1.9330334351460494
18,15,3,G|a|q,0.9,236,236,1,184,460.97,5,1.0,0.9063450489229,3.5043832340714904,2.8319384998788606
19,15,3,G|a|q,0.9,93,93,1,201,500.48,5,1.0,0.8950002282780011,2.9307192948054,4.272074288923039
20,15,3,G|a|q,0.9,230,230,1,191,469.11,5,1.0,0.9078426267967468,3.4853909619877075,3.556956523993043
21,15,3,G|a|q,0.9,153,23,0,201,502.02,5,1.0,0.999218122533349,4.18511373867591,1.8783554404206733
22,15,3,G|a|q,0.9,230,230,1,172,426.86,5,1.0,0.9082602523202112,3.7366497500545752,3.0180004345532803
23,15,3,G|a|q,0.9,228,228,1,187,462.15,5,1.0,0.8863512784229088,4.001400572654416,2.5436593862285886
24,15,3,G|a|q,0.9,128,128,1,168,410.31,5,1.0,0.9644316152049481,3.767676638384293,2.84830321942319
25,15,3,G|a|q,0.9,33,33,1,42,101.56,5,1.0,0.8622983250320233,3.855163057242054,2.6923055779213096
26,15,3,G|a|q,0.9,127,127,1,194,472.84,5,1.0,0.8167560475717281,3.9323725436347607,2.314471740458478
27,15,3,G|a|q,0.9,205,205,1,201,484.26,5,1.0,0.893053932687811,3.3678869174175134,3.4065612886823535
28,15,3,G|a|q,0.9,90,90,1,132,312.37,5,1.0,0.9557774245220096,4.160551860044656,2.300548925015143
29,15,3,G|a|q,0.9,98,98,1,160,383.79,5,1.0,0.9009339235178407,3.8900119520807794,2.1304650474075255
30,15,3,G|a|q,0.9,181,181,1,171,407.43,5,1.0,0.8691676457832478,4.054078726786764,2.429272770758411
31,15,3,G|a|q,0.9,165,165,1,200,473.55,5,1.0,0.8739162590713369,3.971159812742247,2.1151613024174005
32,15,3,G|a|q,0.9,73,73,1,182,420.37,5,1.0,0.9159928541676022,3.973797431446652,1.9750810621553727
33,15,3,G|a|q,0.9,136,136,1,186,426.18,5,1.0,0.8549236579914583,4.824549658960659,1.2534851540574266
34,15,3,G|a|q,0.9,246,246,1,194,461.47,5,1.0,0.8878361769986522,4.519883612371232,1.9939447198048528
35,15,3,G|a|q,0.9,182,182,1,161,412.32,5,1.0,0.7887218649724075,3.6695902884678118,3.2016405819309974
36,15,3,G|a|q,0.9,50,50,1,128,322.05,5,1.0,0.9683231778411581,3.2396367231573837,3.2055722658273123
37,15,3,G|a|q,0.9,252,252,1,194,494.95,5,1.0,0.8732032982058897,3.774767087743485,2.4489579770605
38,15,3,G|a|q,0.9,183,183,1,129,325.29,5,1.0,0.8717261033750527,3.594698421834671,2.9822784902672126
39,15,3,G|a|q,0.9,44,44,1,137,347.33,5,1.0,0.87968524217,3.940776136846874,2.096221883772228
40,15,3,G|a|q,0.9,9,9,1,158,394.53,5,1.0,0.9248734658611214,3.4762503222303476,3.2125879741409404
41,15,3,G|a|q,0.9,30,30,1,128,318.62,5,1.0,0.9308004285306515,4.011886500506591,2.202928324790281
42,15,3,G|a|q,0.9,188,188,1,165,407.15,5,1.0,0.8802372362802747,3.711090381815628,3.3412418297360995
43,15,3,G|a|q,0.9,32,32,1,161,402.3,5,1.0,0.8940816477729284,3.839254587888232,3.041933207166169
44,15,3,G|a|q,0.9,177,177,1,126,308.74,5,1.0,0.8753505537930439,4.176348288583096,2.1824519417182398
45,15,3,G|a|q,0.9,207,207,1,114,280.04,5,1.0,0.9435487299060344,3.933943411986626,2.336534532244372
46,15,3,G|a|q,0.9,203,203,1,151,391.84,5,1.0,0.9920918727692551,3.744993675800361,2.6281313605597685
47,15,3,G|a|q,0.9,110,110,1,175,451.67,5,1.0,0.8114015543342059,4.111239497209677,2.456079968639242
48,15,3,G|a|q,0.9,167,167,1,193,487.28,5,1.0,0.8680931486099711,3.887040881418038,2.346222711207802
49,15,3,G|a|q,0.9,173,173,1,133,336.26,5,1.0,0.9599017022591286,3.855061592775932,2.635101665056811
50,15,3,G|a|q,0.9,140,140,1,182,328.88,5,1.0,0.8202327599899106,4.701424179347278,1.7906045596578086
51,15,3,G|a|q,0.9,27,233,0,201,357.82,5,1.0,0.6338820661794924,4.615848201437718,1.2782846381104669
52,15,3,G|a|q,0.9,201,201,1,191,337.7,5,1.0,0.8043071223009031,4.682906703945223,1.509380914026894
53,15,3,G|a|q,0.9,155,6,0,201,357.23,5,1.0,0.9288806316540981,3.822642961271069,2.5663152549798376
54,15,3,G|a|q,0.9,65,65,1,178,321.64,5,1.0,0.9167812472324842,4.048260787270604,1.9302760787615882
55,15,3,G|a|q,0.9,43,43,1,174,314.57,5,1.0,0.8856729889365358,3.90731392619263,1.8941596225078987
56,15,3,G|a|q,0.9,101,101,1,177,316.87,5,1.0,0.9249735278846487,3.5154784326507045,2.9876859306247963
57,15,3,G|a|q,0.9,66,66,1,196,352.25,5,1.0,0.8372921174773473,4.2479596126097485,2.4699846701152652
58,15,3,G|a|q,0.9,204,204,1,182,326.61,5,1.0,0.866182965138923,3.226460472182055,3.567819112771063
59,15,3,G|a|q,0.9,25,25,1,157,280.62,5,1.0,0.9830338699005738,2.8858751530129543,3.7439167209598705
60,15,3,G|a|q,0.9,175,175,1,195,347.46,5,1.0,0.9279080823692553,4.123676771673055,2.3680338836802455
61,15,3,G|a|q,0.9,100,100,1,127,225.11,5,1.0,0.9215859605452907,4.02571994806109,2.360252164866353
62,15,3,G|a|q,0.9,125,125,1,194,345.45,5,1.0,0.9094019354533863,4.092280696333423,2.9510356199353875
63,15,3,G|a|q,0.9,78,78,1,179,319.43,5,1.0,0.8902131948701675,3.2549453996696305,3.5678660815430185
64,15,3,G|a|q,0.9,143,254,0,201,349.14,5,1.0,0.9918977879263802,4.224639175982448,2.293466723419866
65,15,3,G|a|q,0.9,74,74,1,111,192.73,5,1.0,0.9400020982735735,3.268446586139185,3.8981063726448264
66,15,3,G|a|q,0.9,181,181,1,183,320.55,5,1.0,0.9320910651592633,4.443423298214458,1.838827880510925
67,15,3,G|a|q,0.9,211,211,1,191,326.44,5,1.0,0.9464212360366266,4.1796108174304045,2.3006783825044255
68,15,3,G|a|q,0.9,203,203,1,192,328.5,5,1.0,0.8957187871391211,4.233717198792281,1.6627802597208765
69,15,3,G|a|q,0.9,0,0,1,89,156.37,5,1.0,0.9050424398602479,3.7070004221173765,2.491973669594132
70,15,3,G|a|q,0.9,92,92,1,183,324.69,5,1.0,0.9844984158435512,3.853217404790426,2.517152114380437
