seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,2,1,G,0.3,220,188,0,201,436.73,0.7704152565232038
1,2,1,G,0.3,94,94,1,43,90.04,0.3210972552276801
2,2,1,G,0.3,33,33,1,49,103.6,0.3417786975002567
3,2,1,G,0.3,43,43,1,67,141.43,0.27188117819538493
4,2,1,G,0.3,5,5,1,46,97.45,0.3115058195352319
5,2,1,G,0.3,169,107,0,201,423.71,0.7746364369380958
6,2,1,G,0.3,115,115,1,55,114.59,0.26203612127218895
7,2,1,G,0.3,52,47,0,201,418.45,0.5352426165543349
8,2,1,G,0.3,44,44,1,52,106.88,0.25651424790907623
9,2,1,G,0.3,54,54,1,50,102.75,0.27919769618076395
10,2,1,G,0.3,2,24,0,201,430.89,0.8902774373925129
11,2,1,G,0.3,129,169,0,201,425.91,0.7922622690132278
12,2,1,G,0.3,80,80,1,52,109.01,0.343550522145614
13,2,1,G,0.3,85,167,0,201,423.38,0.8922705626095462
14,2,1,G,0.3,29,29,1,50,102.26,0.2742529235586985
15,2,1,G,0.3,176,176,1,46,94.03,0.3572752742530986
16,2,1,G,0.3,213,213,1,49,102.0,0.3080081399984533
17,2,1,G,0.3,78,78,1,46,94.21,0.32745511951339995
18,2,1,G,0.3,236,236,1,54,110.99,0.2964688409821808
19,2,1,G,0.3,75,93,0,201,415.51,0.46292253632761504
20,2,1,G,0.3,230,230,1,72,149.98,0.33152457824783843
21,2,1,G,0.3,23,23,1,201,416.69,0.9703758060974231
22,2,1,G,0.3,58,230,0,65,129.38,0.23724263900903275
23,2,1,G,0.3,228,228,1,51,102.57,0.3009937632895673
24,2,1,G,0.3,128,128,1,201,413.59,0.38405429768857696
25,2,1,G,0.3,106,33,0,59,121.61,0.2117749824036085
26,2,1,G,0.3,168,127,0,91,189.96,0.19709148393312287
27,2,1,G,0.3,205,205,1,53,108.77,0.2711764944256133
28,2,1,G,0.3,90,90,1,61,128.93,0.34636329238095553
29,2,1,G,0.3,83,98,0,201,422.58,0.8035748412668997
30,2,1,G,0.3,181,181,1,48,101.64,0.2960699617705365
31,2,1,G,0.3,144,165,0,201,409.35,0.9223182287549748
