seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
0,17,4,G|a|q|c,0.3,220,188,0,201,299.34,5,1.0,0.0,0.4183521980737178,4.175807961151616,2.3816951967825615,1.5818171001718324
1,17,4,G|a|q|c,0.3,94,94,1,125,163.22,5,1.0,0.0,0.31458576445995495,3.4888767410837627,3.5242553546840796,0.07402663122033849
2,17,4,G|a|q|c,0.3,33,33,1,133,173.19,5,1.0,0.0,0.3290140574052942,4.372742079210448,2.2211160310816918,-1.8478446789081118
3,17,4,G|a|q|c,0.3,179,43,0,201,266.91,5,1.0,0.0,0.5150120899777403,3.694672051177844,2.9265552033527054,-0.8715504627296629
4,17,4,G|a|q|c,0.3,5,5,1,154,201.29,5,1.0,0.0,0.33316618460240643,3.7936322653266026,2.352884103946491,-1.3645253620132956
5,17,4,G|a|q|c,0.3,166,107,0,201,264.63,5,1.0,0.0,0.5717555657365052,4.250816917970626,2.007279739212891,-1.3117806714471378
6,17,4,G|a|q|c,0.3,176,115,0,201,266.51,5,1.0,0.0,0.42180096531937755,4.063096971728888,2.703048623833186,-1.936282545262696
7,17,4,G|a|q|c,0.3,52,47,0,201,264.83,5,1.0,0.0,0.5710382991510716,3.717697214589325,2.4786632436241893,-0.044686048254470194
8,17,4,G|a|q|c,0.3,130,44,0,99,128.05,5,1.0,0.0,0.20115178333592101,3.6101832939117737,3.485113531135885,-0.47861025472114876
9,17,4,G|a|q|c,0.3,54,54,1,153,201.7,5,1.0,0.0,0.27369412188361,3.826636817709236,2.5665894782581673,-1.574419125402033
10,17,4,G|a|q|c,0.3,2,24,0,201,266.75,5,1.0,0.0,0.5405592607641391,4.000382671397142,3.088301377322636,-1.2401480184735079
11,17,4,G|a|q|c,0.3,169,169,1,201,266.78,5,1.0,0.0,0.28730065110870795,4.506489157150787,1.7464789950729949,-1.5496088695209682
12,17,4,G|a|q|c,0.3,18,80,0,201,267.05,5,1.0,0.0,0.004680672465727871,4.188041983193714,1.552220256525534,0.423148471870402
13,17,4,G|a|q|c,0.3,14,167,0,201,265.6,5,1.0,0.0,0.5770685012144472,3.7208981007887956,2.561374009264031,-1.4005079455563856
14,17,4,G|a|q|c,0.3,30,29,0,62,75.68,5,1.0,0.0,0.1477919761608089,3.9334599619635706,2.1833968635835914,0.04183387002616231
15,17,4,G|a|q|c,0.3,176,176,1,138,180.71,5,1.0,0.0,0.3487417821559785,3.781719707295492,3.055917247126224,-3.067595365752839
16,17,4,G|a|q|c,0.3,72,213,0,201,256.47,5,1.0,0.0,0.006024522478839481,4.559076571217372,1.0362657398976143,0.3729039952305077
17,17,4,G|a|q|c,0.3,78,78,1,171,219.71,5,1.0,0.0,0.31304503394892425,4.331407167835392,2.344522972174177,-1.2947586390984271
18,17,4,G|a|q|c,0.3,71,236,0,201,260.83,5,1.0,0.0,0.6448030472334818,3.2515271599732225,3.2388619942326176,-0.17975493038578721
19,17,4,G|a|q|c,0.3,93,93,1,157,207.65,5,1.0,0.0,0.28786354542701675,3.352513844847608,3.1942793954884574,1.7176611670887143
20,17,4,G|a|q|c,0.3,115,230,0,133,174.33,5,1.0,0.0,0.2231796741813107,3.777733934661362,2.918720250027315,1.1939728918935886
21,17,4,G|a|q|c,0.3,243,23,0,201,260.84,5,1.0,0.0,0.0029723228979023097,3.882635294878237,2.1256958720548464,-0.1984741160080461
22,17,4,G|a|q|c,0.3,239,230,0,201,264.6,5,1.0,0.0,0.31034752728420767,4.398814552980942,1.7969684994766446,1.1400549172931551
23,17,4,G|a|q|c,0.3,228,228,1,201,264.7,5,1.0,0.0,0.287556040740869,4.033312182738956,2.6461621299876192,-1.186848243259964
24,17,4,G|a|q|c,0.3,110,128,0,201,265.61,5,1.0,0.0,0.6698995184473205,3.9077655470517114,2.853780552789029,-1.8499526053924464
