seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,3,1,G,0.5,188,188,1,79,103.61,0.43493170068023773
1,3,1,G,0.5,94,94,1,39,47.18,0.4984513738943078
2,3,1,G,0.5,33,33,1,51,61.63,0.49410733211745955
3,3,1,G,0.5,43,43,1,42,49.76,0.49749704292387364
4,3,1,G,0.5,5,5,1,45,55.1,0.48961114020176366
5,3,1,G,0.5,107,107,1,61,71.02,0.5194791668357691
6,3,1,G,0.5,115,115,1,51,61.11,0.5201844188836203
7,3,1,G,0.5,47,47,1,53,65.88,0.5307064581227875
8,3,1,G,0.5,44,44,1,51,62.96,0.5195151448302968
9,3,1,G,0.5,54,54,1,60,73.29,0.5001514682004304
10,3,1,G,0.5,24,24,1,53,65.42,0.5285792240017445
11,3,1,G,0.5,169,169,1,62,80.31,0.44705757994153533
12,3,1,G,0.5,80,80,1,65,87.88,0.48846314052224665
13,3,1,G,0.5,167,167,1,73,99.71,0.4236916646207794
14,3,1,G,0.5,29,29,1,44,57.75,0.5009029167272064
15,3,1,G,0.5,176,176,1,60,79.44,0.4904647426830519
16,3,1,G,0.5,213,213,1,39,52.39,0.5249263287100367
17,3,1,G,0.5,78,78,1,67,90.59,0.48351094359916813
18,3,1,G,0.5,236,236,1,53,71.59,0.5459289928871751
19,3,1,G,0.5,93,93,1,41,54.39,0.5001155996644209
20,3,1,G,0.5,230,230,1,82,112.0,0.4227247198978745
21,3,1,G,0.5,23,23,1,51,68.41,0.5314788186724072
22,3,1,G,0.5,230,230,1,58,76.93,0.47303056154181317
23,3,1,G,0.5,228,228,1,48,63.85,0.5370485692534086
24,3,1,G,0.5,128,128,1,72,96.86,0.4508848625199778
25,3,1,G,0.5,33,33,1,43,56.96,0.5211803471427161
26,3,1,G,0.5,127,127,1,201,273.51,0.7658284426034311
27,3,1,G,0.5,205,205,1,54,72.86,0.4921755602340941
28,3,1,G,0.5,90,90,1,67,90.64,0.4552819439180587
29,3,1,G,0.5,98,98,1,46,60.43,0.4711718432803033
30,3,1,G,0.5,181,181,1,66,87.73,0.5642015433907742
31,3,1,G,0.5,165,165,1,55,73.27,0.47168141211582887
32,3,1,G,0.5,73,73,1,47,62.51,0.551986972835253
33,3,1,G,0.5,136,136,1,63,83.69,0.4665476168696184
34,3,1,G,0.5,246,246,1,54,70.23,0.5003662425769736
35,3,1,G,0.5,182,182,1,47,60.92,0.49434668900869627
36,3,1,G,0.5,50,50,1,51,67.75,0.4842189759137862
37,3,1,G,0.5,252,252,1,65,88.77,0.4850778162355238
38,3,1,G,0.5,183,183,1,34,42.96,0.5034447282697891
39,3,1,G,0.5,44,44,1,58,77.87,0.532649849936082
40,3,1,G,0.5,9,9,1,62,81.83,0.49817253322231003
41,3,1,G,0.5,30,30,1,60,78.13,0.49899656867883235
42,3,1,G,0.5,188,188,1,50,66.46,0.5088106911366024
43,3,1,G,0.5,32,32,1,61,79.31,0.4940070536453178
44,3,1,G,0.5,177,177,1,65,86.24,0.45167022847033533
45,3,1,G,0.5,207,207,1,43,56.55,0.5044952224272293
46,3,1,G,0.5,203,203,1,63,83.81,0.40875816140740906
47,3,1,G,0.5,110,110,1,44,58.76,0.4711137025074285
48,3,1,G,0.5,167,167,1,62,82.99,0.43723414052294607
49,3,1,G,0.5,173,173,1,40,52.92,0.5387443846094505
