seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
0,18,4,G|a|q|c,0.5,188,188,1,125,193.95,5,1.0,0.0,0.5911269422225804,3.957008231313214,2.824003873242883,1.3421900880478235
1,18,4,G|a|q|c,0.5,94,94,1,96,126.16,5,1.0,0.0,0.5107997336531465,3.4679538700027166,3.551022180773275,0.14404373236035975
2,18,4,G|a|q|c,0.5,33,33,1,127,166.39,5,1.0,0.0,0.5269418424471966,4.354153334944684,2.240472956200266,-1.7769626546092305
3,18,4,G|a|q|c,0.5,43,43,1,100,127.7,5,1.0,0.0,0.4659896538272174,3.4664867236841532,3.2616572348338253,-0.2359051388782986
4,18,4,G|a|q|c,0.5,5,5,1,149,192.89,5,1.0,0.0,0.5347091306602564,3.809226902429631,2.3377962285208453,-1.4353382440313576
5,18,4,G|a|q|c,0.5,107,107,1,88,113.22,5,1.0,0.0,0.49079196307776307,4.336825719643075,1.949550964264855,-1.587073111237336
6,18,4,G|a|q|c,0.5,115,115,1,110,140.96,5,1.0,0.0,0.4397534542361231,4.014705337623747,2.7745328027944467,-1.7175255298103833
7,18,4,G|a|q|c,0.5,47,47,1,67,79.99,5,1.0,0.0,0.48944918514426666,3.5917236310052747,2.743464216407572,-0.016788781241437786
8,18,4,G|a|q|c,0.5,44,44,1,147,191.68,5,1.0,0.0,0.42531855801629587,3.6228006927419587,3.4967133824187306,-0.6675646728849751
9,18,4,G|a|q|c,0.5,54,54,1,144,186.73,5,1.0,0.0,0.475028876847576,3.780545661122879,2.619188266941779,-1.448476747817819
10,18,4,G|a|q|c,0.5,24,24,1,143,190.65,5,1.0,0.0,0.42265791314622286,4.0611358585582815,3.0431014827701643,-1.6371350343216846
11,18,4,G|a|q|c,0.5,169,169,1,187,251.94,5,1.0,0.0,0.4912730613156303,4.347654584101933,1.9568242823114808,-1.4317766513423762
12,18,4,G|a|q|c,0.5,156,80,0,201,270.71,5,1.0,0.0,0.017991811067314137,4.3319186356573445,1.3234393070238082,0.28796243073995453
13,18,4,G|a|q|c,0.5,167,167,1,103,135.85,5,1.0,0.0,0.5555079481226277,3.8211580422832108,2.6378169743305437,-2.197288408793204
14,18,4,G|a|q|c,0.5,29,29,1,153,204.58,5,1.0,0.0,0.4804495220340403,3.915831567349777,2.2880620714145135,-0.43450108967356166
15,18,4,G|a|q|c,0.5,176,176,1,119,157.16,5,1.0,0.0,0.5517075699145829,3.731479134922858,3.1387464400639375,-3.0629366049165268
16,18,4,G|a|q|c,0.5,236,213,0,201,262.9,5,1.0,0.0,0.03905893004414947,4.953998096157148,0.49761818171153777,0.7871845006407139
17,18,4,G|a|q|c,0.5,78,78,1,164,214.33,5,1.0,0.0,0.5113310505863584,4.35706862364641,2.313328000430464,-1.356596678592419
18,18,4,G|a|q|c,0.5,236,236,1,116,150.17,5,1.0,0.0,0.503569427473251,3.357874512252807,3.1859478807124857,-0.6697169703142858
19,18,4,G|a|q|c,0.5,93,93,1,141,188.07,5,1.0,0.0,0.4879312507002809,3.389861447534736,3.1266433043406363,1.7041280275680064
20,18,4,G|a|q|c,0.5,71,230,0,201,240.02,5,1.0,0.0,0.5236888686910962,3.949242542981036,2.7392221063274604,0.012634945478712365
21,18,4,G|a|q|c,0.5,247,23,0,201,256.98,5,1.0,0.0,0.005128460599098527,3.8909158247545452,2.130063694746883,-0.0507291943278715
22,18,4,G|a|q|c,0.5,239,230,0,201,264.73,5,1.0,0.0,0.5201257568016407,4.178589665207287,2.148917679119105,0.9740287474880597
23,18,4,G|a|q|c,0.5,228,228,1,179,235.68,5,1.0,0.0,0.49095801153917923,3.9038876324360996,2.822925021160317,-0.926352750252951
24,18,4,G|a|q|c,0.5,128,128,1,84,108.4,5,1.0,0.0,0.5601678720933063,3.656267214289949,3.1387036689983168,-0.6562063900744042
25,18,4,G|a|q|c,0.5,33,33,1,143,180.89,5,1.0,0.0,0.4673771942608856,3.9536145666742373,2.5521772854300253,-0.11577584196649837
26,18,4,G|a|q|c,0.5,127,127,1,156,203.41,5,1.0,0.0,0.4322358671238693,3.729988320501373,2.8662657706690218,-1.5927893859969813
27,18,4,G|a|q|c,0.5,205,205,1,140,183.66,5,1.0,0.0,0.4768613637067401,3.8418124458318563,2.4229257151149928,1.3945549599617069
28,18,4,G|a|q|c,0.5,90,90,1,95,122.98,5,1.0,0.0,0.5421898620112212,4.356847349067115,1.9736773403543002,0.3674161337001342
29,18,4,G|a|q|c,0.5,98,98,1,79,101.27,5,1.0,0.0,0.5124640019417852,4.092391334222979,1.721458558135398,1.0018102482696618
30,18,4,G|a|q|c,0.5,181,181,1,115,147.15,5,1.0,0.0,0.4796085524407053,4.041415067830072,2.483301441348077,-0.2485026447755248
31,18,4,G|a|q|c,0.5,165,165,1,132,172.05,5,1.0,0.0,0.46840356751990825,3.6465217661433447,2.9456417939933477,-2.0591710609584353
32,18,4,G|a|q|c,0.5,73,73,1,103,132.81,5,1.0,0.0,0.4997456645200696,3.7607425637098517,2.440932412349904,-1.0149174374306076
33,18,4,G|a|q|c,0.5,136,136,1,170,223.93,5,1.0,0.0,0.4326122036867344,4.6784577973795125,1.7574748955548298,-2.3172611636700804
34,18,4,G|a|q|c,0.5,246,246,1,131,170.43,5,1.0,0.0,0.5104776728267351,4.198312670884307,2.7546632334639782,-1.961268108458042
35,18,4,G|a|q|c,0.5,182,182,1,141,182.26,5,1.0,0.0,0.43209261362427,3.580848021740822,3.402979052631572,-0.31132334957045665
36,18,4,G|a|q|c,0.5,50,50,1,134,172.89,5,1.0,0.0,0.5406169685070336,3.332604052738747,3.017384828158812,0.14256786793448686
37,18,4,G|a|q|c,0.5,252,252,1,109,139.78,5,1.0,0.0,0.45180154983324905,3.423912733714315,3.213192671179038,-1.1485981961788325
38,18,4,G|a|q|c,0.5,183,183,1,118,153.06,5,1.0,0.0,0.4939516354150825,3.7166472538203763,2.7854562182154097,-0.038790140460365566
39,18,4,G|a|q|c,0.5,44,44,1,164,213.08,5,1.0,0.0,0.49837862262947863,3.9727292733868262,2.0835790281434923,-0.26883028085516214
40,18,4,G|a|q|c,0.5,9,9,1,132,169.83,5,1.0,0.0,0.5056606903868511,3.7258441221084095,2.6957898327557306,0.6429797428920121
41,18,4,G|a|q|c,0.5,141,30,0,201,264.55,5,1.0,0.0,0.02560731943408652,4.726310136023934,1.0435639031374935,-1.2126505473102112
42,18,4,G|a|q|c,0.5,188,188,1,136,180.23,5,1.0,0.0,0.4992236555910223,3.89439925044404,2.932294415175736,0.7440109691054044
43,18,4,G|a|q|c,0.5,32,32,1,120,154.88,5,1.0,0.0,0.49824351121226657,3.8729200064933296,3.007219695925971,-0.1937038017993019
44,18,4,G|a|q|c,0.5,177,177,1,92,120.14,5,1.0,0.0,0.48130732550987354,4.280335011037152,1.9855441235611442,0.40052069747978447
45,18,4,G|a|q|c,0.5,207,207,1,122,158.86,5,1.0,0.0,0.5386762318807556,3.9901550318634658,2.2316827211829438,0.1859939147461453
46,18,4,G|a|q|c,0.5,203,203,1,85,109.08,5,1.0,0.0,0.5579782650553856,3.932107739528291,2.241662884433865,0.695756286789054
47,18,4,G|a|q|c,0.5,110,110,1,147,193.18,5,1.0,0.0,0.43814992492139954,4.077241471211951,2.648804268650089,-1.0407021513145418
48,18,4,G|a|q|c,0.5,167,167,1,194,262.12,5,1.0,0.0,0.4982686020713309,3.7882476105319647,2.6467274529817693,-1.1253270044575268
49,18,4,G|a|q|c,0.5,142,173,0,201,266.06,5,1.0,0.0,0.64159213387346,4.076093493914315,2.3795248970956804,-1.0426678165261367
