seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,q_true,G_fit,q_fit
0,22,5,G|q,0.3,188,188,1,179,280.85,1.0,0.7645262419671994,0.2535916591808257
1,22,5,G|q,0.3,94,94,1,114,167.37,1.0,0.40917943536670337,0.6747321887513879
2,22,5,G|q,0.3,33,33,1,105,151.59,1.0,0.5255217231091396,0.4652410012032541
3,22,5,G|q,0.3,43,43,1,136,200.22,1.0,0.21218683309013397,1.5605103462673728
4,22,5,G|q,0.3,5,5,1,181,265.67,1.0,0.7690975281616248,0.27118066322902995
5,22,5,G|q,0.3,169,107,0,201,297.85,1.0,0.9828398351352533,0.5404412376570403
6,22,5,G|q,0.3,115,115,1,201,293.67,1.0,0.13649853184653749,2.8497484685849876
7,22,5,G|q,0.3,37,47,0,201,297.3,1.0,0.3976885989983421,0.9518006394303997
8,22,5,G|q,0.3,44,44,1,92,134.55,1.0,0.23172549283517851,1.4939278756372123
9,22,5,G|q,0.3,54,54,1,143,213.56,1.0,0.14316151362467974,2.602574834598506
10,22,5,G|q,0.3,2,24,0,201,298.32,1.0,0.06434790493177149,2.879931249253291
11,22,5,G|q,0.3,129,169,0,201,291.71,1.0,0.4970833164652738,-0.05438697397697736
12,22,5,G|q,0.3,80,80,1,121,171.49,1.0,0.2822575883535988,1.0470095753122042
13,22,5,G|q,0.3,85,167,0,201,291.08,1.0,0.12308055260711374,1.6226658701734933
14,22,5,G|q,0.3,29,29,1,151,214.33,1.0,0.16155501073024384,2.142176283354304
15,22,5,G|q,0.3,176,176,1,110,155.95,1.0,0.5521805752011454,0.43882074108205954
16,22,5,G|q,0.3,213,213,1,102,145.94,1.0,0.295100410496573,1.1308435609481469
17,22,5,G|q,0.3,78,78,1,201,287.74,1.0,0.3705417318466309,0.697197504771359
18,22,5,G|q,0.3,236,236,1,87,121.32,1.0,0.34214866272914823,1.019525826942909
19,22,5,G|q,0.3,195,93,0,201,290.93,1.0,0.09619997173278581,1.233270935175793
20,22,5,G|q,0.3,230,230,1,188,271.41,1.0,0.653128978185694,0.2900043257202297
21,22,5,G|q,0.3,23,23,1,201,289.16,1.0,0.9991463459101345,0.792963570959182
22,22,5,G|q,0.3,58,230,0,201,285.17,1.0,0.08501277134841037,1.3654936442869008
23,22,5,G|q,0.3,228,228,1,145,207.66,1.0,0.17205356586385384,2.3454634517652475
24,22,5,G|q,0.3,128,128,1,84,121.26,1.0,0.39083884426332344,0.6526918982730195
25,22,5,G|q,0.3,106,33,0,194,279.24,1.0,0.4957478573897931,0.3684872356792916
26,22,5,G|q,0.3,120,127,0,114,166.21,1.0,0.2588629682514543,1.2562235457223083
27,22,5,G|q,0.3,205,205,1,104,147.11,1.0,0.2236380862628346,1.467617725675266
28,22,5,G|q,0.3,90,90,1,111,160.82,1.0,0.5134128805685703,0.41914297466758876
29,22,5,G|q,0.3,83,98,0,166,242.85,1.0,0.322989720931028,0.706603874376129
30,22,5,G|q,0.3,181,181,1,113,160.91,1.0,0.2502184248412918,1.3706750030004486
31,22,5,G|q,0.3,165,165,1,201,291.28,1.0,0.5129260658076075,0.7769793948365087
32,22,5,G|q,0.3,73,73,1,114,168.58,1.0,0.2734987437645335,1.3523849457074089
33,22,5,G|q,0.3,136,136,1,201,287.96,1.0,0.11371831013714258,2.9298533538497376
34,22,5,G|q,0.3,44,246,0,201,291.75,1.0,0.09246396599459433,1.634729701324484
35,22,5,G|q,0.3,220,182,0,201,289.29,1.0,0.1261765313818553,3.442369802957876
36,22,5,G|q,0.3,50,50,1,102,146.85,1.0,0.441034455943372,0.6905006418776166
37,22,5,G|q,0.3,252,252,1,201,294.99,1.0,0.11648409533663781,3.3546280296373716
38,22,5,G|q,0.3,218,183,0,201,295.66,1.0,0.10238509532540616,1.5709366375403406
39,22,5,G|q,0.3,44,44,1,201,291.23,1.0,0.9985901446278816,0.5624108758989849
40,22,5,G|q,0.3,9,9,1,201,284.97,1.0,0.12678092772044047,3.047373217442972
41,22,5,G|q,0.3,30,30,1,116,170.8,1.0,0.30774377196560815,0.961577161258078
42,22,5,G|q,0.3,188,188,1,105,152.08,1.0,0.40365455829635916,0.7222867060210479
43,22,5,G|q,0.3,32,32,1,131,193.1,1.0,0.2889835379675894,1.0488605264379984
44,22,5,G|q,0.3,177,177,1,127,183.8,1.0,0.15827543248999665,1.7462969988222625
45,22,5,G|q,0.3,207,207,1,125,183.88,1.0,0.5377797277513429,0.48626986669834055
46,22,5,G|q,0.3,203,203,1,134,198.27,1.0,0.2813073040436336,0.6970426037835751
47,22,5,G|q,0.3,110,110,1,201,295.52,1.0,0.1903919609258714,1.4121619512201256
48,22,5,G|q,0.3,167,167,1,192,284.52,1.0,0.5855079265996217,0.29327036523370936
49,22,5,G|q,0.3,173,173,1,98,140.64,1.0,0.5234806776666907,0.5980436079698231
