seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,G_fit,a_fit
0,8,2,G|a,0.5,188,188,1,201,384.52,5,0.48450509922449303,7.380425849866059
1,8,2,G|a,0.5,94,94,1,68,124.18,5,0.5001442621823731,5.683607744023622
2,8,2,G|a,0.5,33,33,1,112,204.9,5,0.5042810731620563,6.727237871427963
3,8,2,G|a,0.5,43,43,1,91,168.58,5,0.49326323329750066,4.370918166110139
4,8,2,G|a,0.5,5,5,1,201,371.01,5,0.4967768698692068,6.287671130900349
5,8,2,G|a,0.5,107,107,1,112,202.12,5,0.5237524195933172,6.126372205569887
6,8,2,G|a,0.5,115,115,1,201,362.34,5,0.5131015633295498,3.4941953230046194
7,8,2,G|a,0.5,47,47,1,93,168.53,5,0.5184288979435269,4.347955756300995
8,8,2,G|a,0.5,44,44,1,122,218.99,5,0.5127467402147069,4.153197934500531
9,8,2,G|a,0.5,54,54,1,116,206.44,5,0.48763226806614024,3.3775609914721167
10,8,2,G|a,0.5,24,24,1,134,241.17,5,0.5021406420465522,3.635178064697072
11,8,2,G|a,0.5,169,169,1,138,250.83,5,0.45409672907990994,6.2499794882322695
12,8,2,G|a,0.5,80,80,1,117,207.81,5,0.49013143213702964,5.257219161223879
13,8,2,G|a,0.5,167,167,1,110,198.47,5,0.4869015154751528,6.03132229832645
14,8,2,G|a,0.5,29,29,1,117,211.52,5,0.4969551019272809,4.070829056742025
15,8,2,G|a,0.5,176,176,1,201,365.19,5,0.4972962818845008,6.993636008484443
16,8,2,G|a,0.5,213,213,1,54,95.37,5,0.5235073629561608,4.759570808011906
17,8,2,G|a,0.5,78,78,1,160,290.74,5,0.49063970545234975,6.6956893654863014
18,8,2,G|a,0.5,236,236,1,103,183.86,5,0.5427766231313373,4.716045734285359
19,8,2,G|a,0.5,93,93,1,90,160.57,5,0.49780158326337515,4.864461155849674
20,8,2,G|a,0.5,230,230,1,201,364.35,5,0.4666237989573875,6.934777877526937
21,8,2,G|a,0.5,23,23,1,107,189.82,5,0.534083950956489,6.210766864651908
22,8,2,G|a,0.5,230,230,1,121,217.93,5,0.5021489744572916,6.3727804690510474
23,8,2,G|a,0.5,228,228,1,201,361.0,5,0.5291437294005531,3.728958639023278
24,8,2,G|a,0.5,128,128,1,116,206.67,5,0.4781742046841697,5.972185566158065
25,8,2,G|a,0.5,33,33,1,127,227.59,5,0.5214566560354745,3.8669222169633644
26,8,2,G|a,0.5,127,127,1,133,237.81,5,0.5323511624320693,3.226965536222442
27,8,2,G|a,0.5,205,205,1,97,172.48,5,0.489981460283605,4.104803537537657
28,8,2,G|a,0.5,90,90,1,201,363.67,5,0.46979852324317917,7.193630242329547
29,8,2,G|a,0.5,98,98,1,92,168.76,5,0.4782677141974896,5.776014015319356
30,8,2,G|a,0.5,181,181,1,126,237.05,5,0.4994300949010242,3.9222777910653903
31,8,2,G|a,0.5,165,165,1,90,167.78,5,0.47111362401628926,5.081068932594769
32,8,2,G|a,0.5,73,73,1,84,159.2,5,0.5252358034827164,4.208755068611798
33,8,2,G|a,0.5,136,136,1,201,381.41,5,0.45743535279539743,2.7858073042821117
34,8,2,G|a,0.5,246,246,1,61,110.86,5,0.5080243660846556,5.2550590887274105
35,8,2,G|a,0.5,182,182,1,148,280.49,5,0.4819482580585926,3.7460318143361713
36,8,2,G|a,0.5,50,50,1,109,214.24,5,0.5269947332890935,5.828328899137033
37,8,2,G|a,0.5,252,252,1,201,403.65,5,0.4827379463689076,2.954610696699025
38,8,2,G|a,0.5,183,183,1,84,160.28,5,0.49631921553918185,4.5216556499035905
39,8,2,G|a,0.5,44,44,1,122,235.75,5,0.5389656041745345,6.429366236822365
40,8,2,G|a,0.5,9,9,1,201,387.16,5,0.49287292228359925,3.104105885143049
41,8,2,G|a,0.5,30,30,1,64,119.65,5,0.49946155066964265,5.0846265781559525
42,8,2,G|a,0.5,188,188,1,79,148.73,5,0.5113110790521938,5.56585816059101
43,8,2,G|a,0.5,32,32,1,97,183.6,5,0.48331462820649845,4.690292693556594
44,8,2,G|a,0.5,177,177,1,91,172.43,5,0.4477858453602083,4.44620134586414
45,8,2,G|a,0.5,207,207,1,110,210.29,5,0.5098543998649007,6.56379343585275
46,8,2,G|a,0.5,203,203,1,201,375.81,5,0.42806429810587876,6.287001198186795
47,8,2,G|a,0.5,110,110,1,101,178.86,5,0.4751369586274727,5.930323020072209
48,8,2,G|a,0.5,167,167,1,201,364.04,5,0.4760214770909204,6.771299544303557
49,8,2,G|a,0.5,173,173,1,106,193.56,5,0.5445238224331662,6.377885605959242
