seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
0,30,6,G|a|q,0.9,188,188,1,154,146.06,5,1.0,0.9893844021879413,2.8223750629564477,5.302081721291293
1,30,6,G|a|q,0.9,94,94,1,92,78.78,5,1.0,0.9052675383877506,3.366021731526428,3.761781393830921
2,30,6,G|a|q,0.9,33,33,1,201,169.22,5,1.0,0.926837954237659,6.032306086607879,0.03325252677890774
3,30,6,G|a|q,0.9,43,43,1,179,153.3,5,1.0,0.8631107607525464,3.557070414962,3.063802421259632
4,30,6,G|a|q,0.9,5,5,1,201,171.19,5,1.0,0.9461694121287221,5.5401055049199845,0.042464248606638784
5,30,6,G|a|q,0.9,107,107,1,201,168.59,5,1.0,0.8697778363642547,5.828274705892677,0.01797378194127829
6,30,6,G|a|q,0.9,115,115,1,201,165.29,5,1.0,0.8222901401074553,6.043812267769435,0.045928088499254026
7,30,6,G|a|q,0.9,47,47,1,201,165.33,5,1.0,0.8835633987582402,4.013530086455808,2.087768535204081
8,30,6,G|a|q,0.9,44,44,1,201,164.6,5,1.0,0.8022140983999412,4.696675120570638,1.7378372800950137
9,30,6,G|a|q,0.9,54,54,1,201,165.74,5,1.0,0.9070422230823963,5.524504362769244,0.22532269468148305
10,30,6,G|a|q,0.9,24,24,1,201,167.38,5,1.0,0.7925559335553493,6.154683528187059,0.18903298970065296
11,30,6,G|a|q,0.9,169,169,1,201,165.13,5,1.0,0.9003644352840262,5.759300072325336,0.1314750953764638
12,30,6,G|a|q,0.9,164,80,0,191,157.89,5,1.0,0.00010669025911816467,2.7967074045729983,4.000510750245701
13,30,6,G|a|q,0.9,167,167,1,173,142.42,5,1.0,0.9675517799128797,5.71646477971089,0.003505266150288716
14,30,6,G|a|q,0.9,29,29,1,201,168.38,5,1.0,0.8917699348377115,5.236970774288701,0.5454475224341304
15,30,6,G|a|q,0.9,176,176,1,197,166.37,5,1.0,0.9836348722103305,5.85617214916917,0.0031054776825883918
16,30,6,G|a|q,0.9,213,213,1,201,167.84,5,1.0,0.942328691029913,5.208743328060688,0.49460628131123324
17,30,6,G|a|q,0.9,78,78,1,201,168.17,5,1.0,0.9029342607063667,6.092103784587777,0.07583370073388063
18,30,6,G|a|q,0.9,236,236,1,201,167.87,5,1.0,0.919176881555693,4.539989030117015,1.3246202191993728
