seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,a_0_true,G_fit,a_fit,a_0_fit
0,9,2,G|a|a_0,0.7,188,188,1,54,97.82,5,3.5,0.7827006363319389,5.3808151170667085,3.5284951817042614
1,9,2,G|a|a_0,0.7,94,94,1,56,100.83,5,3.5,0.7008040192446815,5.2223506958124,0.303752883742287
2,9,2,G|a|a_0,0.7,33,33,1,55,93.46,5,3.5,0.7298355877180204,5.14159036420939,3.5254172085346287
3,9,2,G|a|a_0,0.7,43,43,1,65,111.0,5,3.5,0.6601052905491288,5.012714089102705,7.524495527039514
4,9,2,G|a|a_0,0.7,5,5,1,101,169.31,5,3.5,0.7403720047839801,4.664492919648853,18.830497510649824
5,9,2,G|a|a_0,0.7,107,107,1,101,170.54,5,3.5,0.6747585344007873,4.924630678049452,0.033492868094771464
6,9,2,G|a|a_0,0.7,115,115,1,68,124.14,5,3.5,0.6425835519465004,5.165401403817442,5.798587260399592
7,9,2,G|a|a_0,0.7,47,47,1,48,84.54,5,3.5,0.6892668382355828,4.845951043071277,2.6830595244469237
8,9,2,G|a|a_0,0.7,44,44,1,55,102.43,5,3.5,0.6199394829124752,5.288601572938769,10.951426600278833
9,9,2,G|a|a_0,0.7,54,54,1,61,109.36,5,3.5,0.7100603197160109,4.8242917601314215,4.329531948133805
10,9,2,G|a|a_0,0.7,24,24,1,55,99.37,5,3.5,0.6193277539322719,5.414694720546017,3.944960825510938
11,9,2,G|a|a_0,0.7,169,169,1,95,174.4,5,3.5,0.7002457031042049,4.96609526271841,12.84568061855623
12,9,2,G|a|a_0,0.7,80,80,1,88,166.3,5,3.5,0.8117775217488509,4.696065643817426,6.5817667592521705
13,9,2,G|a|a_0,0.7,167,167,1,64,120.19,5,3.5,0.7478669252891862,4.8012178317009395,0.010795164625122606
14,9,2,G|a|a_0,0.7,29,29,1,95,164.48,5,3.5,0.6903730316239197,4.838482034060039,10.052430685940129
