seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,2,1,G,0.3,220,188,0,74,79.08,0.38921538619438545
1,2,1,G,0.3,37,94,0,101,96.33,0.7059751805001929
2,2,1,G,0.3,33,33,1,62,59.69,0.33649435509921016
3,2,1,G,0.3,256,43,0,86,84.14,0.258342556003851
4,2,1,G,0.3,5,5,1,57,56.64,0.30510729835680767
5,2,1,G,0.3,169,107,0,101,94.9,0.8382957746035744
6,2,1,G,0.3,55,115,0,101,96.58,0.8995344517886553
7,2,1,G,0.3,141,47,0,101,97.96,0.9227471695961279
8,2,1,G,0.3,44,44,1,61,61.55,0.2637197878530342
9,2,1,G,0.3,54,54,1,55,54.44,0.3010064476526426
10,2,1,G,0.3,2,24,0,101,97.97,0.9174801014916905
11,2,1,G,0.3,129,169,0,101,96.36,0.5960590474217806
12,2,1,G,0.3,80,80,1,62,61.89,0.33907261307233083
13,2,1,G,0.3,85,167,0,101,98.92,0.7892150682117156
14,2,1,G,0.3,29,29,1,63,64.01,0.2800373473540126
15,2,1,G,0.3,176,176,1,53,50.95,0.34402654737485705
16,2,1,G,0.3,213,213,1,61,59.75,0.31546698533396206
17,2,1,G,0.3,78,78,1,68,66.82,0.32529387397376625
18,2,1,G,0.3,236,236,1,61,59.72,0.3094650814261077
19,2,1,G,0.3,75,93,0,101,95.74,0.4493661283335825
20,2,1,G,0.3,230,230,1,68,64.23,0.29690455023323536
21,2,1,G,0.3,23,23,1,101,93.44,0.9919868482188351
22,2,1,G,0.3,58,230,0,74,73.36,0.19796692528941962
23,2,1,G,0.3,228,228,1,63,61.23,0.32493626134053527
24,2,1,G,0.3,128,128,1,67,64.69,0.3445456939373786
25,2,1,G,0.3,33,33,1,55,53.04,0.30668725087455545
26,2,1,G,0.3,40,127,0,101,93.64,0.9383914986705295
27,2,1,G,0.3,205,205,1,56,53.3,0.2786732231711692
28,2,1,G,0.3,90,90,1,67,63.68,0.3298813172005638
29,2,1,G,0.3,83,98,0,76,69.48,0.4038479862515243
30,2,1,G,0.3,60,181,0,101,91.01,0.915825003820568
31,2,1,G,0.3,144,165,0,101,95.37,0.9399693004362754
32,2,1,G,0.3,168,73,0,101,95.67,0.7520102153457989
33,2,1,G,0.3,136,136,1,70,66.05,0.24247645804338927
34,2,1,G,0.3,246,246,1,73,70.08,0.32877921239229674
35,2,1,G,0.3,220,182,0,69,67.35,0.330206976952564
36,2,1,G,0.3,5,50,0,101,98.65,0.8465559858587913
37,2,1,G,0.3,79,252,0,101,96.11,0.9230505711934027
38,2,1,G,0.3,218,183,0,101,94.3,0.5386517249027715
39,2,1,G,0.3,172,44,0,101,95.75,0.893996227408494
40,2,1,G,0.3,9,9,1,60,58.56,0.32107016428329893
41,2,1,G,0.3,30,30,1,76,71.81,0.31491119890839914
42,2,1,G,0.3,188,188,1,58,55.42,0.3197082664780602
43,2,1,G,0.3,32,32,1,86,83.38,0.3185506966743254
44,2,1,G,0.3,177,177,1,54,52.82,0.2807492040069231
45,2,1,G,0.3,207,207,1,59,59.97,0.31537534030206454
46,2,1,G,0.3,203,203,1,64,65.52,0.3131267818652365
47,2,1,G,0.3,110,110,1,60,64.98,0.2502731144076797
48,2,1,G,0.3,167,167,1,61,66.65,0.27279026761082076
49,2,1,G,0.3,173,173,1,58,57.46,0.3867954431681284
