seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
0,13,3,G|a|q,0.5,188,188,1,201,304.19,5,1.0,0.49491949607837316,5.0812409593986,1.0138848739547357
1,13,3,G|a|q,0.5,94,94,1,188,278.62,5,1.0,0.4975842028198976,5.02801435163782,1.0073742244777621
2,13,3,G|a|q,0.5,33,33,1,160,236.07,5,1.0,0.49926890672170765,5.007723830563858,1.002342682929832
3,13,3,G|a|q,0.5,43,43,1,122,175.88,5,1.0,0.5001669290378674,4.990328499315597,0.9995340754597722
4,13,3,G|a|q,0.5,5,5,1,198,289.71,5,1.0,0.498493734165486,5.004691154695319,1.0045762539038485
5,13,3,G|a|q,0.5,107,107,1,99,144.55,5,1.0,0.5000215316082325,4.9969563902393315,1.0007668799914984
6,13,3,G|a|q,0.5,115,115,1,152,222.02,5,1.0,0.499648029124943,4.998338029757573,1.0012220093400392
7,13,3,G|a|q,0.5,47,47,1,108,157.8,5,1.0,0.4992109260312531,5.003429483857152,1.0026341261121081
8,13,3,G|a|q,0.5,44,44,1,177,258.03,5,1.0,0.49949935840488213,5.003214611345964,1.001994027266527
9,13,3,G|a|q,0.5,54,54,1,126,184.09,5,1.0,0.49937601845596363,4.999286209108023,1.0025999653526532
10,13,3,G|a|q,0.5,24,24,1,144,208.01,5,1.0,0.5000727069638813,4.996740388924979,1.0004044104876024
11,13,3,G|a|q,0.5,169,169,1,137,198.16,5,1.0,0.49961050485378516,5.002159174935216,1.0017491964325653
12,13,3,G|a|q,0.5,157,80,0,201,286.1,5,1.0,0.39643180798936395,5.351591761217604,0.14086101723126546
13,13,3,G|a|q,0.5,167,167,1,111,159.08,5,1.0,0.5007681863135974,4.977224914030079,0.9993752365701052
14,13,3,G|a|q,0.5,29,29,1,112,160.97,5,1.0,0.49993318963055366,5.00095391241953,1.0007356934362446
15,13,3,G|a|q,0.5,176,176,1,112,158.26,5,1.0,0.4984512449614889,5.006325467507447,1.0057821043550348
16,13,3,G|a|q,0.5,213,213,1,121,174.32,5,1.0,0.5007777752700148,4.987354405884418,0.9989614725021984
17,13,3,G|a|q,0.5,78,78,1,163,232.17,5,1.0,0.4995270241768247,5.004082425327587,1.0015752839371035
18,13,3,G|a|q,0.5,236,236,1,119,166.81,5,1.0,0.501525014402159,4.985950652047026,0.9976122012609671
19,13,3,G|a|q,0.5,93,93,1,125,175.71,5,1.0,0.4999999365695464,4.994400984282033,1.000943018899677
20,13,3,G|a|q,0.5,230,230,1,182,255.17,5,1.0,0.49813240355590716,5.019995009385033,1.0053511194090339
21,13,3,G|a|q,0.5,178,23,0,201,278.69,5,1.0,0.7240194097983624,3.625359047395908,0.035624656346749675
22,13,3,G|a|q,0.5,230,230,1,201,282.38,5,1.0,0.4977919834060665,5.0224979246002714,1.0061375494508613
23,13,3,G|a|q,0.5,228,228,1,125,172.99,5,1.0,0.5003171830736425,4.999782681638836,0.9998684005682065
24,13,3,G|a|q,0.5,128,128,1,199,281.63,5,1.0,0.4990855442369685,5.003308644631852,1.003154214079594
25,13,3,G|a|q,0.5,33,33,1,117,162.49,5,1.0,0.5003937985196858,4.993450876078456,0.999985130162191
26,13,3,G|a|q,0.5,127,127,1,104,145.5,5,1.0,0.49833501379339534,5.007524484525297,1.0054353801232234
27,13,3,G|a|q,0.5,205,205,1,116,160.48,5,1.0,0.5009452732624858,4.993039970378664,0.998289069294187
