seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
0,18,4,G|a|q|c,0.5,188,188,1,54,129.82,5,1.0,0.0,0.5895509050100624,5.5966520399479744,0.7521507455240529,0.035814769471158685
1,18,4,G|a|q|c,0.5,94,94,1,60,143.86,5,1.0,0.0,0.4967646024212283,5.235035459549936,0.9956160758416975,0.00821665808567895
2,18,4,G|a|q|c,0.5,33,33,1,61,142.18,5,1.0,0.0,0.512377482046277,5.191620653211867,0.9652240548843347,0.009326006162819355
3,18,4,G|a|q|c,0.5,43,43,1,89,212.39,5,1.0,0.0,0.4782890391907722,4.977736248884313,1.0677321666951947,0.019082480353820347
4,18,4,G|a|q|c,0.5,5,5,1,201,499.14,5,1.0,0.0,0.513444057477637,4.718929886424198,0.9808547348199752,-0.18421450804247141
5,18,4,G|a|q|c,0.5,107,107,1,60,140.58,5,1.0,0.0,0.488397322010558,4.9100251549664495,1.0377383190266323,-0.004840321400650285
6,18,4,G|a|q|c,0.5,115,115,1,87,214.13,5,1.0,0.0,0.454547832785596,5.062060535139929,1.150651092637111,-0.059767903617275596
7,18,4,G|a|q|c,0.5,47,47,1,86,213.87,5,1.0,0.0,0.49578778083274533,4.837829237388088,1.0195716729338788,0.09845218430666226
8,18,4,G|a|q|c,0.5,44,44,1,52,116.96,5,1.0,0.0,0.43151292681274916,5.093934098158244,1.2358467271865277,-0.02964992589451242
9,18,4,G|a|q|c,0.5,54,54,1,89,220.68,5,1.0,0.0,0.5001309519782997,4.862247998501698,1.0267686198704549,-0.07893488253491875
10,18,4,G|a|q|c,0.5,24,24,1,82,200.57,5,1.0,0.0,0.4352323368477968,5.2377814236089,1.2287551316773482,-0.027054790981037
11,18,4,G|a|q|c,0.5,169,169,1,92,228.34,5,1.0,0.0,0.47936114988474826,4.982842241490918,1.0659740592770166,-0.08178251772676087
12,18,4,G|a|q|c,0.5,156,80,0,201,512.88,5,1.0,0.0,0.052473287863749274,5.038033558442739,0.3070512552766438,0.932712699381624
13,18,4,G|a|q|c,0.5,167,167,1,74,188.03,5,1.0,0.0,0.5345651076696378,4.923592704175718,0.8915983563901998,-0.04479287138146514
14,18,4,G|a|q|c,0.5,29,29,1,53,132.28,5,1.0,0.0,0.48390197397034884,4.799567299774198,1.0556979286737749,-0.03904476017794593
15,18,4,G|a|q|c,0.5,176,176,1,89,229.59,5,1.0,0.0,0.506240530282675,5.00789240130326,0.9839120539990587,-0.07327698454144897
16,18,4,G|a|q|c,0.5,50,213,0,201,514.2,5,1.0,0.0,0.07795817458227011,5.969547252611355,-0.5874960063128924,1.6355500006587953
17,18,4,G|a|q|c,0.5,78,78,1,77,184.61,5,1.0,0.0,0.5041204483113989,5.26217738811165,0.9818525850536526,0.025652682250694735
18,18,4,G|a|q|c,0.5,236,236,1,61,142.21,5,1.0,0.0,0.5089474096539265,4.795877339226987,1.0110015744144094,0.030155722657586464
19,18,4,G|a|q|c,0.5,93,93,1,93,221.57,5,1.0,0.0,0.4968469981333995,4.990993376917623,1.0020016712860875,0.05477690926181316
20,18,4,G|a|q|c,0.5,205,230,0,201,539.39,5,1.0,0.0,0.41555740272309505,5.123827701917829,0.22390215997115537,1.1651947659304152
21,18,4,G|a|q|c,0.5,247,23,0,201,523.67,5,1.0,0.0,0.005832283965383432,4.248266256777329,1.3924228975844932,0.3945834422886649
22,18,4,G|a|q|c,0.5,239,230,0,201,535.26,5,1.0,0.0,0.5438516452071278,5.6718312377869164,0.14949352321469248,0.46013649279085
23,18,4,G|a|q|c,0.5,228,228,1,65,158.11,5,1.0,0.0,0.4845194285321943,5.115733213675995,1.0876285904987717,-0.027901059198227114
24,18,4,G|a|q|c,0.5,128,128,1,86,215.64,5,1.0,0.0,0.5447781726104707,5.238759993887038,0.8740669210515043,-0.08144717499355386
25,18,4,G|a|q|c,0.5,33,33,1,77,193.64,5,1.0,0.0,0.47457360452269315,5.011689436476535,1.099417529727009,0.00855244367671768
26,18,4,G|a|q|c,0.5,127,127,1,92,234.04,5,1.0,0.0,0.46384273044056396,4.840565356095498,1.1301810177284883,-0.14623960495502641
27,18,4,G|a|q|c,0.5,205,205,1,108,274.7,5,1.0,0.0,0.48947107067025036,5.017827853830226,1.0302700762387842,0.026139319604925354
28,18,4,G|a|q|c,0.5,90,90,1,62,154.93,5,1.0,0.0,0.5200049761833472,5.22537542284327,0.9248241614682489,0.05460737822262507
29,18,4,G|a|q|c,0.5,98,98,1,111,281.27,5,1.0,0.0,0.5120566614867174,4.809781115105751,0.9665150367199947,0.061760558328155586
30,18,4,G|a|q|c,0.5,181,181,1,76,189.39,5,1.0,0.0,0.48614414528133054,5.077748320936634,1.0709636482343166,-0.02376364329345625
