seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,3,1,G,0.5,188,188,1,46,62.14,0.49944184938757663
1,3,1,G,0.5,94,94,1,41,50.51,0.5004393582201984
2,3,1,G,0.5,33,33,1,41,54.69,0.5003940088485337
3,3,1,G,0.5,43,43,1,46,64.53,0.5013686347774882
4,3,1,G,0.5,5,5,1,42,60.55,0.4999400639623492
5,3,1,G,0.5,107,107,1,58,98.3,0.5004927941833175
6,3,1,G,0.5,115,115,1,52,101.24,0.5012172166280334
7,3,1,G,0.5,47,47,1,51,98.44,0.5012925101254471
8,3,1,G,0.5,44,44,1,47,90.67,0.5016949303725986
9,3,1,G,0.5,54,54,1,52,99.55,0.5014740763629734
10,3,1,G,0.5,24,24,1,57,103.57,0.5037849332388489
11,3,1,G,0.5,169,169,1,43,64.09,0.5002296137677572
12,3,1,G,0.5,80,80,1,55,70.81,0.5003020132228994
13,3,1,G,0.5,167,167,1,44,56.73,0.5004304570824046
14,3,1,G,0.5,29,29,1,42,54.71,0.5008502415459574
15,3,1,G,0.5,176,176,1,48,62.57,0.5003318125500505
16,3,1,G,0.5,213,213,1,43,57.73,0.5012116303857035
17,3,1,G,0.5,78,78,1,47,66.74,0.5003169980055444
18,3,1,G,0.5,236,236,1,46,65.12,0.5021739036412773
19,3,1,G,0.5,93,93,1,39,56.15,0.5014014643783051
20,3,1,G,0.5,230,230,1,71,104.89,0.49910137669532595
21,3,1,G,0.5,23,23,1,51,75.19,0.5021183273107699
22,3,1,G,0.5,230,230,1,48,70.29,0.5001601872349104
23,3,1,G,0.5,228,228,1,62,90.63,0.5011152170038454
24,3,1,G,0.5,128,128,1,42,61.28,0.49975651601397014
25,3,1,G,0.5,33,33,1,53,79.2,0.5013866780231138
26,3,1,G,0.5,127,127,1,64,89.65,0.5026829044101553
27,3,1,G,0.5,205,205,1,45,54.22,0.5014799583979638
28,3,1,G,0.5,90,90,1,79,91.86,0.4999392903034167
29,3,1,G,0.5,98,98,1,57,70.83,0.5007116478798922
30,3,1,G,0.5,181,181,1,50,64.99,0.5015606002870474
31,3,1,G,0.5,165,165,1,45,62.8,0.5012983159496879
32,3,1,G,0.5,73,73,1,56,79.2,0.5019415200522627
33,3,1,G,0.5,136,136,1,55,77.32,0.5009051573847308
34,3,1,G,0.5,246,246,1,48,70.82,0.5008258840392519
