seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
0,20,4,G|a|q|c,0.9,188,188,1,79,116.57,5,1.0,0.0,0.9755602926737864,5.4930307896534565,0.8997589122745231,0.03313536157097526
1,20,4,G|a|q|c,0.9,94,94,1,70,100.2,5,1.0,0.0,0.9004628424048859,5.2222068805383985,0.9983986362481421,0.02973776534240649
2,20,4,G|a|q|c,0.9,33,33,1,87,128.5,5,1.0,0.0,0.9255536830319924,5.174363211832052,0.9699319336095295,-0.041703492514284665
3,20,4,G|a|q|c,0.9,43,43,1,76,108.89,5,1.0,0.0,0.8573012226137625,4.954292983133948,1.0636792920810203,0.014031955101916899
4,20,4,G|a|q|c,0.9,5,5,1,71,99.56,5,1.0,0.0,0.936170032489256,4.720759534268134,0.9570237759293305,-0.08067880590525203
5,20,4,G|a|q|c,0.9,107,107,1,79,114.91,5,1.0,0.0,0.8704557195377668,4.890784654158186,1.0484060161887607,-0.039235461791871075
6,20,4,G|a|q|c,0.9,115,115,1,106,154.74,5,1.0,0.0,0.8178646605684581,5.058058498178845,1.1311167327462963,-0.04887791208949369
7,20,4,G|a|q|c,0.9,47,47,1,71,99.02,5,1.0,0.0,0.8782429085631174,4.817770037894836,1.0311733116340605,0.03189039809591221
8,20,4,G|a|q|c,0.9,44,44,1,50,67.58,5,1.0,0.0,0.8005428616106312,5.1548895835996955,1.161183905576309,-0.02201344821196891
9,20,4,G|a|q|c,0.9,54,54,1,69,98.61,5,1.0,0.0,0.9033264659722839,4.83080762036074,1.0016513582386455,-0.05878773915442984
10,20,4,G|a|q|c,0.9,24,24,1,83,118.86,5,1.0,0.0,0.7982242734972229,5.261854041677264,1.1646992351361158,-0.06583935177612867
11,20,4,G|a|q|c,0.9,169,169,1,91,130.45,5,1.0,0.0,0.898867593678293,4.975017494004652,1.0044600067939022,-0.03763802153424083
12,20,4,G|a|q|c,0.9,156,80,0,201,297.4,5,1.0,0.0,0.047212662012321494,6.908737543293088,-1.2699196131317971,-0.4183148825567682
13,20,4,G|a|q|c,0.9,167,167,1,84,118.2,5,1.0,0.0,0.9613875149320219,4.895281606918672,0.9163618654005964,0.000919094429910343
14,20,4,G|a|q|c,0.9,29,29,1,59,84.5,5,1.0,0.0,0.8885294316644593,4.82693705687292,1.0180391553539365,-0.01457935107210053
15,20,4,G|a|q|c,0.9,176,176,1,87,131.2,5,1.0,0.0,0.9619290742749879,5.055510626962805,0.9230775606322174,-0.05942504660484904
16,20,4,G|a|q|c,0.9,236,213,0,201,304.88,5,1.0,0.0,0.025019634197678012,5.688969239637132,-0.2830251931750062,0.8712217843673369
17,20,4,G|a|q|c,0.9,78,78,1,66,94.97,5,1.0,0.0,0.8981070698291839,5.242489515725943,1.0083795880711934,-0.02846995214445654
18,20,4,G|a|q|c,0.9,236,236,1,59,82.63,5,1.0,0.0,0.9154728291551479,4.8249883050405336,0.981583051163466,0.006060532402784542
19,20,4,G|a|q|c,0.9,93,93,1,79,116.25,5,1.0,0.0,0.906239260485421,5.000047255302661,0.9851171017482621,0.04552795585542031
