seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
129,1,1,G,0.1,244,241,0,52,75.03,0.16963613529105015
130,1,1,G,0.1,208,243,0,66,91.89,0.0419756447797541
131,1,1,G,0.1,238,21,0,45,60.73,0.10214947221026013
132,1,1,G,0.1,94,198,0,64,90.55,0.022917223658680416
133,1,1,G,0.1,211,210,0,59,84.08,0.08702415529635121
134,1,1,G,0.1,167,172,0,85,123.12,0.04998129714866985
135,1,1,G,0.1,230,8,0,56,76.36,0.05313076965918733
136,1,1,G,0.1,191,199,0,122,173.29,0.06204890397166114
137,1,1,G,0.1,9,194,0,50,71.99,0.12534364917493662
138,1,1,G,0.1,195,7,0,39,55.78,0.12208405011021392
139,1,1,G,0.1,92,37,0,55,79.7,0.12542669651805788
140,1,1,G,0.1,106,141,0,49,71.91,0.12413288294105944
141,1,1,G,0.1,256,138,0,58,81.23,0.08863149827313527
142,1,1,G,0.1,150,150,1,63,90.35,0.08540607421678366
143,1,1,G,0.1,254,67,0,84,122.52,0.0412832820771036
144,1,1,G,0.1,147,192,0,201,290.74,0.489170071857217
145,1,1,G,0.1,112,112,1,55,78.48,0.10177389729906515
146,1,1,G,0.1,188,101,0,67,92.09,0.03877956678775521
147,1,1,G,0.1,84,199,0,90,130.55,0.0415443341530967
148,1,1,G,0.1,157,157,1,62,89.15,0.08640109437211646
149,1,1,G,0.1,204,204,1,53,72.36,0.03566359744428444
