seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,q_true,G_fit,q_fit
0,22,5,G|q,0.3,188,188,1,114,193.76,1.0,0.299620591915724,1.0024558405525088
1,22,5,G|q,0.3,94,94,1,103,176.2,1.0,0.3001306927754779,1.0011099166006558
2,22,5,G|q,0.3,33,33,1,112,199.01,1.0,0.29975702606671406,1.0013945941170868
3,22,5,G|q,0.3,43,43,1,130,235.72,1.0,0.30009220832804745,1.0023587654224215
4,22,5,G|q,0.3,5,5,1,113,193.52,1.0,0.29940616789348756,1.0033533874721474
5,22,5,G|q,0.3,107,107,1,120,204.35,1.0,0.2998998022894463,1.0020899081810057
6,22,5,G|q,0.3,115,115,1,132,234.63,1.0,0.3001063215628142,1.0002703873096854
7,22,5,G|q,0.3,52,47,0,201,355.37,1.0,0.9812900220180125,0.5760077313211417
8,22,5,G|q,0.3,44,44,1,117,198.41,1.0,0.2991972858567522,1.0059505398860222
9,22,5,G|q,0.3,54,54,1,109,187.42,1.0,0.3003240598590842,1.0001784430128005
10,22,5,G|q,0.3,2,24,0,201,341.49,1.0,0.9064075863573684,0.40370593266851207
11,22,5,G|q,0.3,129,169,0,201,342.96,1.0,0.46507293460920907,-0.16335701678416945
12,22,5,G|q,0.3,80,80,1,113,191.25,1.0,0.2997017100056425,1.0022339502832007
13,22,5,G|q,0.3,85,167,0,201,339.8,1.0,0.9887837630348922,0.5999383530968885
14,22,5,G|q,0.3,29,29,1,87,141.66,1.0,0.30029551805468857,1.0005595498331024
15,22,5,G|q,0.3,176,176,1,115,192.19,1.0,0.2998528355107706,1.0020101697075887
16,22,5,G|q,0.3,213,213,1,98,165.3,1.0,0.3002916671876181,1.001160305781358
17,22,5,G|q,0.3,78,78,1,121,203.75,1.0,0.2995295374003749,1.003281374718566
18,22,5,G|q,0.3,236,236,1,108,179.39,1.0,0.29979527452444704,1.002893367257295
19,22,5,G|q,0.3,75,93,0,201,343.83,1.0,0.8164388588269209,0.28904055192898165
20,22,5,G|q,0.3,230,230,1,120,202.32,1.0,0.29972102945658735,1.0022381561708016
21,22,5,G|q,0.3,23,23,1,157,266.12,1.0,0.30125025712818726,1.0063636934947502
22,22,5,G|q,0.3,58,230,0,110,184.88,1.0,0.52374127700652,0.09351167432960718
